Title,Location,Company,Posting,Salary,Description,Salary_Low,Salary_High,Unit,Currency
Admin Purchasing Temporary,Jakarta Raya,Sari Rasa Group,1 hari yang lalu,,"Requirement :
Minimum D3 in any major, preferable Industrial Engineering Major
Having minimum 1 years experience in similar position. Open to university students, applications are welcome.
Good Communication
Able to use computer (Ms. Office and Ms. Excel)
Open, honestly, trustworthy.
Good attention to detil. 
Willing to working 6 days (placement West Jakarta)
Willing to intern as a temporary replacement during maternity leave

Job Descriptions :
Making PO Supplies for maintenance and building material.
Handle end to end PO process, finishing and payment.
Follow up document and invoice",,,,
Purchaser (Buyer.SCM.Procurement.),Jakarta Raya,Eaton Group,6 jam yang lalu,,"What You'll Do:
A. Create PO in SAP
a.Checking PR created from MRP run for direct materials
b. Create PO for direct and indirect materials
c. Attached quotation into PO for 3rd party purchase
d. Print PO in PDF format
e. Email PO
f. Create Order in Vista (for Cutler Hammer / US items)

B. PO Follow Up
a. Ask/receive order confirmation from suppliers
b. Update AB and LA dates (if needed)
c. Expedite delivery from suppliers (if needed)
d. Escalate to manager for critical / Urgent deliveries
e. Call suppliers if needed (time zone difference for Germany and US)
f. Arrange with forwarder to pick up cargo from suppliers

C. Import Clearance
a. Provides invoice, packing list, Form D/E and all shipping document to forwarders to clear custom
b. Checking draft import permit
c. Check to validate Duty/Tax based on HS code
d. Submit inbound e-Faktur (if needed)

D. Arrange Delivery to Warehouse or Customers (Drop Ship)
a. Work with forwarders to import shipment and arrange delivery to customers (Drop Ship)
b. Get POD from forwarders (Drop Ship) & pass over to CSR for billing
c. Work with forwarders to import (deliver) shipment to warehouse
E. Post shipment follow up
a. Incoming shipment discrepancy on Qty or materials
b. Work with forwarder or WH on shipment isolation
c. Follow up with supplier on shipment discrepancy and insurance company for claim on damaged
F. Logistics support on Quality management
a. Instruct forwarder to sort and isolate affected products
b. Arrange with plants for repair and/or return shipment
c. Follow up until issue is resolved and closed  

G. Maintain Vendor master data in SAP

H. Inventory management
a. Monthly reconciliation between SAP against warehouse and other sites records
b. Investigate and work with relevant team to revolse any discrepancy
c. Lead/conduct/join yearly stock count (physical inventory)
Qulifications:
-Diploma in any field
-At least 2-year experience in logistics, supply chain, or purchasing
A. Proficient in SAP RTC module
B. Familiar with import custom process in Indonesia
C. Familiar with FTA for import duty reduction
D. Basic knowledge in incoterm and shipping documentation
D. Basic knowledge in warehouse operation
E. Intermediate or higher level in using Excel software
F. Good process understanding of inbound from oversea supplier to destination and outbound from either our warehouse or supplier (in case of drop shipment) to customer destination A. Experience in working with forwarder and warehouse.
B. Hands-on and fluent in English. Able to speak Chinese will be added advantage
C. Mature and able to work independently",,,,
Project Support Intern (paid internship),Jakarta Selatan,PT Senior Marketing System Indonesia,1 hari yang lalu,Rp 2.000.000 – Rp 3.000.000 per month,"SMS Indonesia is a marketing agency that helps clients promote products to increase public awareness. Headquartered in Japan and has several branches in Asia, making us have a strong foundation to reach various brands and large companies.
We are seeking a highly motivated and detail-oriented Project Support Intern to join our dynamic Project Team. This internship offers a valuable opportunity to gain hands-on experience in the fast-paced world of marketing project management. The intern will provide crucial administrative and operational support to the Project Team, contributing directly to the successful execution of client campaigns.
Responsibilities:
Assist Project Managers in the preparation of project reports, including data collection, analysis, and formatting.
Support the team in the preparation of settlement documents and invoices for finance payments.
Help with the logistical arrangements and supervision of extra manpower (e.g., Sales Promotion Girls, seminar speakers) on-site.
Organize and maintain project-related documents and files.
Assist in the preparation of presentation materials and meeting minutes.
Provide general administrative support to the Project Team as needed.
Potentially participate in on-site project execution and monitoring (depending on project needs).
Undertake any other ad-hoc tasks as required to support the smooth running of projects.
Requirements:
Final year undergraduate student or recent postgraduate from a reputable university, preferably in Marketing, Business Administration, Communication, or a related field.
Strong organizational and time-management skills with the ability to prioritize tasks and meet deadlines.
Excellent attention to detail and accuracy.  
Proficient in Microsoft Office Suite (Word, Excel, PowerPoint).
Strong written and verbal communication skills.
Ability to work independently and as part of a team.  
Proactive attitude and willingness to learn.
Ability to adapt to a dynamic and fast-paced environment.
Fluency in English is preferred.
Benefits of this Internship:
Gain practical experience in marketing project management within a reputable agency.
Work closely with experienced marketing professionals and learn best practices.
Develop your organizational, communication, and problem-solving skills.
Gain exposure to a variety of marketing activities and client projects.
Opportunity to contribute directly to the success of real-world marketing campaigns.
Potential for networking within the marketing industry.
Meals & transport allowances provided.",2000000.0,3000000.0,month,IDR
Lauric Origination Analyst,Jakarta Raya,"PT SMART,Tbk",11 jam yang lalu,,"Job description Summary:
Responsible for the database of the system (creation, implementation and maintenance), as well as reports for internal purposes as well as other related divisions.

Job Description:
Develop tools and implement systems related to performance and operational needs analysis.
Develop and manage tools for the development and refinement of business prises to be more effective.
Develop automation and system transformation for business review and business analyst dept.
Develop tools and/or systems on demand from operational or other divisions.

Job requirements:
Candidate must possess at least a Bachelor's Degree in any major
At least 1 year of working experience as analyst, fresh graduates are welcome to apply.
Must be fluent in English
Numerical proficiency
Willing to be located in Jakarta

""Our company has never levied any fees for the recruitment process nor has it required to order tickets and accommodation through a certain travel agent or certain person""",,,,
Executive Assistant - Indonesia,Jakarta Raya,Oracle,28 menit yang lalu,,"Responsibilities
As an Executive Assistant, you will be a key player in our dynamic and fast-paced environment. Your role involves:
Proactive Support: Anticipate needs and proactively address issues before they arise.
Complex Problem-Solving: Manage assignments that require significant judgment and initiative to resolve complex problems and make informed recommendations.
Confidentiality: Handle sensitive and confidential information with discretion.
Information Preparation: Collect and prepare critical data for internal and external meetings.
Autonomous Work: Determine methods and procedures for new tasks independently, and supervise other administrative staff as needed.
Technical Proficiency: Utilize desktop applications such as MS Word, Excel, PowerPoint, and email messaging tools effectively.
Data Analysis: Analyze problems, compile and interpret data, and prepare detailed reports and recommendations. Track and manage basic spreadsheet models and projects.
Cross-Functional Communication: Interact with personnel at all levels to gather information and prepare comprehensive reports.
Project Management: Engage in special projects including equipment management, new hire training, project coordination, documentation, and liaison activities with Human Resources. Participate in operational task forces as required.
Qualifications
Experience: Minimum of 5 years in executive support or office management roles.
Skills: Strong organizational skills, ability to work autonomously, and adept at problem-solving. Proven capability to handle confidential matters with integrity.
Attributes: Self-motivated, resourceful, and adaptable to a high-paced work environment.
As a world leader in cloud solutions, Oracle uses tomorrow’s technology to tackle today’s challenges. We’ve partnered with industry-leaders in almost every sector—and continue to thrive after 40+ years of change by operating with integrity. 
We know that true innovation starts when everyone is empowered to contribute. That’s why we’re committed to growing an inclusive workforce that promotes opportunities for all.
Oracle careers open the door to global opportunities where work-life balance flourishes. We offer competitive benefits based on parity and consistency and support our people with flexible medical, life insurance, and retirement options. We also encourage employees to give back to their communities through our volunteer programs.
We’re committed to including people with disabilities at all stages of the employment process. If you require accessibility assistance or accommodation for a disability at any point, let us know by emailing 
accommodation-request_mb@oracle.com or by calling +1 888 404 2494 in the United States.
Oracle is an Equal Employment Opportunity Employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, sexual orientation, gender identity, disability and protected veterans’ status, or any other characteristic protected by law. Oracle will consider for employment qualified applicants with arrest and conviction records pursuant to applicable law. 
Coordinate internal and external meetings for multiple executives
Manage hectic and complex calendars 
Prepare expense reports and purchase requisitions 
Coordinate both domestic and international travel arrangements 
General office duties as needed
Build cross-functional relationships between departments
Understand the business needs, the organization and ability to see around corners related to them
Career Level - IC1",,,,
Server (Waitress),Jakarta Raya,PT Mari Makan Semeja,9 jam yang lalu,,"We are looking for enthusiastic and service-oriented individuals to join our team as Server.
In this role, you will be responsible for providing excellent guest experiences and ensuring smooth service operations in our outlets.
Responsibilities
Deliver professional, friendly, and attentive service to all guests.
Take and serve food & beverage orders accurately and efficiently.
Maintain cleanliness and organization of the dining area.
Ensure service standards and company guidelines are consistently followed.
Support the team in creating a welcoming and memorable guest experience.
Requirements
Previous experience as a server in F&B is preferred, but fresh candidates are welcome.
Strong communication skills and guest-oriented mindset.
Ability to work in a fast-paced environment.
Willing to be placed in any outlet within our group.
Flexible schedule, including weekends and holidays.",,,,
Affiliate Specialist - Beauty Industry,Jakarta Utara,PT RANS Kosmetika Indonesia,10 jam yang lalu,,"Jobdesc:
Recruit and onboard affiliates, influencers, or content creators
Manage daily operations of affiliate programs (TikTok, Shopee, etc.)
Launch, monitor, and optimize affiliate campaigns
Track performance metrics: CTR, conversions, ROI, and sales

Requirements:
Bachelor’s degree in any major, with 1–2 years of experience in affiliate marketing, influencer management, or e-commerce
Familiar with affiliate platforms and tracking tools
Strong analytical skills with attention to detail
Great communication and relationship-building skills
Passionate about digital trends and content creator ecosystems; willing to be placed in PIK 2, North Jakarta",,,,
Customer Service (Ramadhan & Idul Fitri Support),Jakarta Barat,Howel and Co Indonesia,5 jam yang lalu,Rp 5.000.000 – Rp 5.500.000 per month,"About the Role: 
We are looking for a dedicated and proactive Customer Service professional to join our team, with a strong focus on supporting peak seasons like Ramadhan and Idul Fitri. As the main point of contact for customers across various platforms, you will handle inquiries, resolve complaints, and process orders to ensure a smooth and positive customer experience. You will work closely with internal teams to address order and shipping issues, playing a key role in maintaining customer satisfaction and loyalty. By delivering timely, accurate information about our products and services, you will represent the face of our company and contribute to its success.

Responsibilities:
Respond promptly to customer inquiries across various platforms (e.g., Shopee, Tokopedia, Instagram).
Handle and resolve customer complaints regarding product issues, returns, and exchanges.
Manage and track orders to ensure timely delivery and address any order discrepancies.
Collaborate with the logistics team to address shipping issues and provide updates to customers.
Maintain accurate records of customer interactions, transactions, comments, and complaints.
Prepare and submit regular reports on customer interactions, feedback, and issues.
Monitor and respond to customer reviews and feedback on multiple platforms.
Provide comprehensive information about products, services, and policies to customers.
Continuously improve service procedures, policies, and standards based on customer feedback.

Qualifications:
Male/Female, maximum age 27 years.
Bachelor’s Degree in any field.
Fresh graduates are welcome to apply.
Willing to work in 24-hour shifting, including weekends and national holidays (fixed schedule, not flexible).
Good communication skills and ability to handle difficult situations with tact and professionalism.
Ability to type quickly and accurately; having basic computer skills.
Strong problem-solving skills and attention to detail.
Capable of working independently and as part of a team.
Basic proficiency in English; additional language skills are a plus.
High level of empathy and commitment to customer satisfaction.",5000000.0,5500000.0,month,IDR
Jr Brand Manager (International),Jakarta Pusat,PT Kapal Api Global,2 hari yang lalu,,"Are you an expert in marketing and brand management, especially for international markets?
Come join us!

What You Will Do:
Execute marketing strategies and create marketing plans.
Discover insights and analyze surveys on new market trends and consumer behavior.
Coordinate with agencies to implement brand promotion activities.
Conduct brand health tracking to ensure strong brand positioning and performance.
Suggest brand promotion ideas to boost brand awareness.

What You Need:
A Bachelor’s degree (any major) with a minimum GPA of 3.00.
Strong knowledge of brand management concepts and market research data.
Experience in creating promotion strategies (ATL & BTL).
Experience handling international markets.
Excellent English skills (both written and verbal).",,,,
Procurement Engineer,Jakarta Selatan,PT Decorient Partaya Indonesia,4 jam yang lalu,,"Procurement Engineer
Responsibilities:
Handle purchasing of materials, equipment, and services for construction projects.
Find, evaluate, and negotiate with suppliers to get the best price and quality.
Prepare purchase orders and contracts based on project needs.
Work closely with project and site teams to ensure timely delivery.
Monitor supplier performance and resolve any delivery or quality issues.
Keep accurate records of purchases and supplier information.
Support cost control by comparing quotations and monitoring budgets.
Requirements:
Bachelor’s Degree in Civil Engineering, Architecture, Supply Chain, or related field.
Minimum 3 years of experience in procurement (preferably in construction).
Good knowledge of construction materials and equipment.
Strong negotiation, communication, and problem-solving skills.
Able to work under pressure and meet deadlines.
Proficient in MS Office and ERP systems.",,,,
Purchasing,Jakarta Utara,PT Masa Lestari Husada,2 hari yang lalu,,"Job Description:
Carry out the process of purchasing goods so that goods are available according to demand
Search and compare vendors to get the best price and quality.
Negotiating prices, penalties, methods and times of payment, delivery of goods and making comparisons.
Create and print POs in accordance with planning and ordering needs to Vendors.
Inputting and summarizing orders/purchase prices of goods from vendors.
Update the purchase price of goods for price comparison.
Coordinate the delivery of goods between vendors and warehouses so that goods can arrive on time.

Job Qualifications:
Bachelor of any major
Graduated from Reputable University (Minimum GPA : 3.00)
Have experience in Pharmacist position minimum 1 year or Fresh Graduate can apply
Familiar with Accurate software but not required
Have a good ability to speak English
Have good communication and negotiation skills
Can work under pressure
Willing to be placed in Kelapa Gading, North Jakarta",,,,
Customer Service and Operation Specialist (Airfreight),Jakarta Selatan,Easy Speed International Logistics Limited,9 hari yang lalu,"Rp 8,000,000 – Rp 12,000,000 per month","Position Summary
We are looking for a dedicated and detail-oriented freight Customer Service Senior to join our dynamic team. The ideal candidate will possess a strong background in freight forwarding and a passion for delivering exceptional customer service. This role involves managing customer inquiries, coordinating and handling airfreight (Main focus) and oceanfreight shipments from end to end, and ensuring timely and accurate communication with clients and internal teams.
 Customer Support
- Act as the primary point of contact for customers regarding the inquiries and shipments.
- Address customer questions and issues promptly, ensuring high levels of satisfaction.
Shipment Coordination
- Manage the logistics of airfreight and oceanfreight shipments, including booking, tracking, and documentation.
- Collaborate with carriers, customs brokers, and other stakeholders to ensure timely deliveries.
Problem Solving
- Identify and resolve any issues that arise during the shipping process, proactively communicating with customers about any delays or changes.
- Utilize critical thinking to find effective solutions for customer needs.
Documentation and Compliance
- Prepare and handle all hands-on documentation from end to end, to ensure compliance with international regulations and company policies.
- Maintain accurate records of all transactions and communications related to airfreight and oceanfreight shipments.
Collaboration
- Work closely with the teams to provide a seamless customer experience.
- Assist in the development of operational improvements to enhance service delivery.
Performance Tracking
- Monitor customer feedback and service metrics, contributing to the continuous improvement of processes and procedures.
  Qualifications
- Degree in Logistics, or a related field preferred.
- Minimum of 3 years of experience in air freight forwarding export and import operation. Lastest working experience is freight forwarder.
- Strong master of air freight forwarding operations, documentation handling, regulations, and industry practices. 
- Excellent communication skills, both verbal and written, with a strong customer service orientation.
- Detail-oriented with strong organizational and multitasking abilities.
- Proficiency in freight forwarding software (specifically Cargowise) and Microsoft Office Suite.
 What We Offer
- Competitive salary and promotion package.
- Opportunities for rapid business development and career growth.
- A collaborative and supportive work environment.",8000000.0,12000000.0,month,IDR
Invoice to Pay - Quality Assurance Officer,Jakarta Raya,"PT SMART,Tbk",2 hari yang lalu,,"Job Description Summary :
Responsible to checking and verify all the finance document

Job Description :
Verify invoices according to the existing authorization limit.

Job Requirement :
Minimal Bachelor Degree in Accounting
Having minimal 1 year of working experience in Finance
Fresh Graduate are welcome to apply
Fluent in English, can speak Mandarin could be an advantages
Willing to be located in Head Office Jakarta

""Our company has never levied any fees for the recruitment process nor has it required to order tickets and accommodation through a certain travel agent or certain person""",,,,
Floor Captain - SKYE Jakarta,Jakarta Raya,ISMAYA GROUP,1 hari yang lalu,,"About the role

As a Floor Captain - Bar Concept at ISMAYA GROUP, you'll be responsible for overseeing the smooth running of the bar operations, ensuring exceptional customer service and maintaining high standards of quality. This is a full-time position based in Jakarta, where you'll be part of a dynamic and vibrant team, dedicated to delivering an outstanding guest experience.
What you'll be doing
Takes the guest’s orders, serves food and beverages, prepares itemized checks and accepts payments for processing
Responsible for clearing and setting up tables with providing his guests with any condiments or additional cutleries they may require
Knowledge on its products and promotions
Responsible for opening or closing the guest seating area as well as perform any other reasonable duty assigned by the Bar Manager
What we're looking for
Minimum 1-2 years experience in a similar floor captain role within the bar/hospitality industry
Excellent customer service and communication skills
Attention to detail and the ability to work in a fast-paced environment
Proven track record of maintaining high standards of cleanliness and hygiene
Flexible and adaptable, with the ability to work shifts, including evenings and weekends
What we offer

At ISMAYA GROUP, we're committed to providing our employees with a supportive and rewarding work environment. You'll have access to ongoing training and development opportunities, a competitive salary and a range of benefits, including healthcare coverage, employee discounts and opportunities for career progression.
About us

ISMAYA GROUP is a leading hospitality and lifestyle company in Indonesia, known for its diverse portfolio of restaurants, bars, clubs and event spaces. With a strong focus on innovation, quality and exceptional customer service, we strive to create unique and memorable experiences for our guests. Join our team and be a part of our continued growth and success!
Apply now to become our new Floor Captain - Bar Concept.",,,,
Customer Service (English Speaker),Jakarta Selatan,PT. PRIMA SARANA JASA,6 jam yang lalu,,"WHAT YOU'LL BE DOING
Ensure that all documents related to cases such as Guarantee of Payment, Initial Medical Reports, Investigation Letter, Statement Letter, Confidential Medical Reports, Rejection Letter, etc., are sent to providers in a timely manner following the agreed SLA with clients.
Manage all issues escalated by staff, follow up and liaise with concerned parties internally or externally.
Provide proper solutions to any problem related to the case handling by CSEs, case directions and escalate to Operation Excellence’s Assistant Manager or Head of Operation, that leads to potential issues or clients’ concerns.
Ensure inbound calls SLAs are under control by managing the staff formation, staff telephone skill set level are tagged correctly and monitoring staff call productivity to avoid any abandoned calls.
Support QA in ensuring that CSE calls handling quality meets the standard requirements and conducting regular call reviews and call coaching.
Closely monitor and simultaneously review Operation Dashboard and Task Manager, and take necessary action when needed.
Oversee the clients’ service delivery which includes operational delivery, working with Managed Care Team and Finance Department to secure seamless claims processing.
Ensure that the Operation Platform performance is in accordance with the client’s contractual deliverables and KPIs and that all required reports are timely presented to clients.

WHO ARE WE LOOKING FOR
Minimum Diploma or Bachelor's Degree in any major.
Have experience in Customer Service in Healthcare and/or Life and Health Insurance Industry.
Min 1-3 year experience working in Customer Service.
Having knowledge of Insurance products will be an advantage.
Able to work in shifting hours",,,,
Field Marketing Supervisor - Jakarta South,Jakarta Selatan,PT Korea Tomorrow & Global Indonesia,4 jam yang lalu,,"Job Description :
Candidate must possess at least a Bachelor's Degree in any field.
Required language(s): Bahasa Indonesia, English.
At least 3 Year(s) of working experience as as Sales Supervisor in Tobacco Industry or FMCG. 
Required Skill(s): Administration and Management, Customer and Personal 
Service, Sales and Marketing, Coordination, Monitoring & Feedback, Planning & Organizing, Managing People.
Placement in Jakarta South.
 Job Responsibility:
Collect data related to geographical, cultural and demographic conditions (age range, profession, gender and culture) from targeted sales area to market the product. 
Establishment of measurement target for each sales (Daily/Weekly/Monthly).
Discover new customers (Coverage Extensions). 
Update and leverage sales activity assistance sheets. 
Management of same-day sales proceeds for each sales
Facilitates Field Execution.
Diagnoses the operation of sales activities based on plan and strengthens sales capabilities. 
Comprehensive status diagnosis & reporting (Performance, Field monitoring, Collection of information).
Carry out authorization function in the sales area as regulated in the document of Authorization Level. 
Supervise all activities in sales area so as to comply with the applicable procedures.",,,,
